key,voltage
30,0.40
35,0.83
3,1.88
8,0.87
13,1.24
18,1.58
23,2.19
28,0.09
33,0.35
1,1.65
6,1.03
11,1.22
16,2.02
21,2.12
26,2.60
31,0.12
36,2.74
4,1.32
9,0.59
14,1.71
19,0.58
24,2.97
29,0.81
34,0.24
2,1.45
7,1.11
12,2.04
17,1.26
22,2.82
27,0.11
32,0.59
0,1.42
5,0.71
10,0.50
15,0.93
20,1.52
25,2.22
30,0.42
35,0.86
3,1.86
8,0.88
13,1.20
18,1.52
23,2.20
28,0.05
33,0.35
1,1.63
6,1.10
11,1.31
16,1.99
21,2.15
26,2.60
31,0.13
36,2.62
4,1.37
9,0.64
14,1.67
19,0.56
24,2.98
29,0.88
34,0.17
2,1.46
7,1.11
12,2.10
17,1.27
22,2.85
27,0.11
32,0.62
0,1.41
5,0.72
10,0.54
15,0.90
20,0.98
25,1.95
30,0.42
35,0.82
3,1.87
8,0.86
13,1.28
18,1.55
23,2.21
28,0.06
33,0.35
1,1.62
6,0.99
11,1.28
16,1.98
21,2.11
26,2.60
31,0.14
36,2.56
4,1.33
9,0.60
14,1.78
19,0.60
24,2.98
29,0.72
34,0.22
2,1.45
7,1.14
12,2.06
17,1.24
22,2.83
27,0.11
32,0.62
0,1.40
5,0.71
10,0.51
15,0.90
20,1.14
25,1.90
30,0.43
35,0.83
3,1.87
8,0.87
13,1.22
18,1.52
23,2.20
28,0.07
33,0.35
1,1.62
6,1.09
11,1.28
16,2.00
21,2.13
26,2.60
31,0.10
36,2.56
4,1.37
9,0.63
14,1.74
19,0.58
24,2.98
29,0.95
34,0.19
2,1.46
7,1.11
12,2.03
17,0.86
22,2.84
27,0.14
32,0.60
0,1.42
5,0.72
10,0.51
15,0.92
20,1.21
25,1.82
30,0.41
35,0.93
3,1.88
8,0.87
13,1.23
18,1.54
23,2.20
28,0.04
33,0.36
1,1.63
6,0.98
11,1.22
16,2.02
21,2.13
26,2.61
31,0.10
36,2.57
4,1.30
9,0.62
14,1.80
19,0.58
24,2.98
29,0.66
34,0.24
2,1.45
7,1.12
12,2.02
